型号,性价比,性能,年份,功耗
GeForce RTX 4060,100.00,49.13,2023,
Radeon RX 7600,93.35,41.26,2023,
Arc B580,92.55,38.56,2025,
Radeon RX 6750 GRE 12 GB,88.03,48.93,2023,
GeForce RTX 4060 Ti,83.09,56.55,2023,
Arc B570,83.09,32.84,2025,
Radeon RX 6750 GRE 10 GB,80.64,41.08,2023,
Radeon RX 7600 XT,78.07,42.66,2024,
GeForce RTX 3050 6 GB,74.97,26.52,2024,
Radeon RX 7700 XT,71.29,55.67,2023,
GeForce RTX 3060,70.15,42.42,2021,
GeForce RTX 3060 Ti,68.28,50.73,2020,
Radeon RX 7800 XT,67.94,60.14,2023,
GeForce RTX 3050 8 GB,67.61,31.32,2022,
GeForce RTX 4070 SUPER,67.39,74.59,2024,
Radeon RX 7900 GRE,67.21,66.79,2023,
Radeon RX 6600,65.23,37.57,2021,
GeForce RTX 4060 Ti 16 GB,64.05,56.70,2023,
Radeon RX 6650 XT,62.70,42.67,2022,
Radeon RX 6600 XT,62.40,40.97,2021,
GeForce RTX 4070,60.45,66.91,2023,
GeForce RTX 3070,57.95,55.41,2020,
Radeon RX 6500 XT,57.51,23.73,2022,
Radeon RX 6700 XT,56.82,49.27,2021,
Arc A750,56.39,30.42,2022,
GeForce GTX 1660 Super,56.12,31.60,2019,
Arc A770,54.89,32.67,2022,
Radeon RX 6400,53.07,18.93,2022,
GeForce RTX 3070 Ti,52.71,58.34,2021,
Radeon RX 5600 XT,52.64,33.66,2020,
Radeon RX 6750 XT,51.92,51.60,2022,
Radeon RX 6800 XT,50.67,62.06,2020,
Radeon RX 6800,50.42,54.94,2020,
GeForce RTX 4070 Ti,48.97,78.88,2023,
GeForce RTX 4070 Ti SUPER,48.92,78.80,2024,
GeForce RTX 2060 Super,46.42,40.98,2019,
GeForce RTX 3080,46.40,62.54,2020,
Radeon RX 5500 XT,46.33,22.64,2019,
Radeon RX 5700 XT,46.29,40.90,2019,
GeForce GTX 1660,46.05,28.95,2019,
Arc A380,43.84,15.48,2022,
Radeon RX 5700,42.89,35.72,2019,
GeForce GTX 1660 Ti,42.32,32.04,2019,
GeForce RTX 5080,41.79,92.58,2025,
Radeon RX 6750 GRE,41.34,41.08,2023,
Radeon RX 5700 XT 50th Anniversary,41.30,41.06,2019,
GeForce RTX 3080 12 GB,41.06,66.13,2022,
GeForce RTX 2070 Super,40.97,45.24,2019,
GeForce RTX 2060,38.63,35.10,2019,
GeForce RTX 4080 SUPER,38.38,85.02,2024,
Radeon RX 7900 XT,37.81,71.79,2022,
GeForce GTX 1650,37.22,19.56,2019,
GeForce RTX 3050 4 GB,36.91,16.99,2022,
Radeon RX 7900 XTX,34.79,77.06,2022,
GeForce RTX 2070,32.75,40.08,2018,
GeForce RTX 2080 Super,31.54,48.54,2019,
Radeon RX 6900 XT,29.96,66.37,2020,
GeForce GTX 1070 Ti,29.50,36.47,2017,
GeForce RTX 4080,29.07,85.87,2022,
Radeon RX 6950 XT,27.25,69.90,2022,
GeForce RTX 2080,26.88,46.59,2018,
Radeon VII,25.07,41.08,2019,
Radeon RX 590,23.88,23.32,2018,
Radeon RX Vega 56,23.02,32.71,2017,
GeForce RTX 3080 Ti,22.72,67.13,2021,
GeForce GTX 1070,22.58,33.54,2016,
GeForce RTX 2080 Ti,21.73,53.83,2018,
GeForce GTX 1060 3 GB,21.67,23.81,2016,
Radeon RX Vega 64,21.20,35.32,2017,
GeForce GTX 1080 Ti,20.47,46.13,2017,
GeForce GTX 1080,18.94,38.62,2016,
GeForce RTX 4090,18.84,95.41,2022,
Radeon RX 580,17.21,21.97,2017,
Radeon RX 470,17.17,20.10,2016,
GeForce GTX 1060 6 GB,16.49,25.46,2016,
Radeon RX 480,15.12,21.34,2016,
GeForce RTX 3090,14.96,66.30,2020,
Radeon RX 570,14.73,17.30,2017,
GeForce RTX 4090 D,14.06,71.23,2023,
GeForce GTX 980 Ti,13.75,34.25,2015,
GeForce GTX 1050 Ti,13.48,15.70,2016,
GeForce GTX 970,13.23,23.92,2014,
TITAN Xp,12.66,48.23,2017,
Radeon R9 390,11.29,22.10,2015,
GeForce RTX 5090,11.28,100.00,2025,
GeForce GTX 1050,10.88,12.49,2016,
GeForce GTX 980,10.55,27.59,2014,
Radeon R9 390X,9.67,23.36,2015,
Radeon R9 380,8.77,15.15,2015,
GeForce GTX 960,8.76,15.14,2015,
GeForce GTX 950,8.42,13.27,2015,
Radeon R9 285,8.41,16.59,2014,
GeForce RTX 3090 Ti,8.31,73.63,2022,
GeForce GTX TITAN X,7.84,32.08,2015,
Radeon R9 Fury,7.80,23.73,2015,
Radeon R9 380X,7.77,15.30,2015,
Radeon R9 290,7.70,20.10,2013,
Titan X Pascal,6.64,32.34,2016,
Radeon R9 FURY X,6.63,23.78,2015,
Radeon R7 370,6.37,11.17,2015,
GeForce GTX 780 Ti,6.07,23.62,2013,
Radeon R9 270X,5.59,12.10,2013,
Radeon R9 280X,5.34,14.49,2013,
Radeon R9 Nano,5.20,21.07,2015,
Radeon R9 280,5.19,13.80,2014,
Radeon R7 265,5.07,9.97,2014,
Radeon R9 270,4.85,10.69,2013,
GeForce GTX 750 Ti,4.78,9.68,2014,
Radeon R9 290X,4.71,18.44,2013,
GeForce GTX 780,4.64,19.89,2013,
GeForce GTX 750,4.39,8.29,2014,
Radeon 550,4.37,5.20,2017,
GeForce GTX 760,4.33,11.91,2013,
Radeon R7 360,4.21,7.77,2015,
GeForce GTX 770,4.12,14.71,2013,
GeForce GTX TITAN BLACK,3.83,22.44,2014,
Radeon R7 260,3.59,7.18,2013,
Radeon HD 7870 XT,3.47,11.10,2012,
Radeon R7 260X,3.44,7.93,2013,
GeForce GTX 670,3.33,13.22,2012,
GeForce GTX 660,3.29,9.96,2012,
GeForce GTX TITAN,3.17,20.42,2013,
GeForce GTX 650 Ti Boost,3.14,8.36,2013,
GeForce GTX 660 Ti,3.07,10.98,2012,
Radeon HD 7790,3.00,7.67,2013,
GeForce GTX 680,2.93,13.86,2012,
Radeon RX 550,2.92,6.76,2017,
Radeon HD 7870,2.87,11.47,2012,
Radeon HD 7850,2.82,9.61,2012,
